title,ambient_density,ambient_temperature,ambient_pressure,sea_level_pressure,gear_position,fuel_current,precipitation_state,time
Z-50LS,1.1001949075493087,281.0603708267212,88737.65258789062,101309.99755859376,0,78.7109832763672,2,0
Z-50LS,1.098860408712936,280.9897207260132,88607.7392578125,101309.99755859376,0,78.66948699951173,2,667
Z-50LS,1.095958607316298,280.8731945991516,88337.10327148438,101309.99755859376,0,78.62779235839844,2,1333
Z-50LS,1.090708444101962,280.66877069473264,87849.94506835938,101309.99755859376,0,78.58668518066406,2,2000
Z-50LS,1.0857907975003769,280.4236449241638,87377.48413085938,101309.99755859376,0,78.54569244384764,2,2667
Z-50LS,1.0824907244905313,280.1971453666687,87041.55883789062,101309.99755859376,0,78.50477600097656,2,3333
Z-50LS,1.0812754472374195,280.0384234428405,86894.59228515625,101309.99755859376,0,78.46368408203125,2,4000
Z-50LS,1.082290625896431,279.9785503387451,86957.58056640625,101309.99755859376,0,78.42272186279298,2,4667
Z-50LS,1.0853582743861112,280.02981462478635,87220.01953125,101309.99755859376,0,78.38174438476561,2,5333
Z-50LS,1.0883269545041898,280.1398953437805,87492.96264648438,101309.99755859376,0,78.38174438476561,2,6000
Z-50LS,1.0883269545041898,280.1398953437805,87492.96264648438,101309.99755859376,0,78.38174438476561,2,6667
Z-50LS,1.0883269545041898,280.1398953437805,87492.96264648438,101309.99755859376,0,78.38174438476561,2,7333
Z-50LS,1.0883269545041898,280.1398953437805,87492.96264648438,101309.99755859376,0,78.38174438476561,2,8000
Z-50LS,1.0883269545041898,280.1398953437805,87492.96264648438,101309.99755859376,0,78.38174438476561,2,8667
