title,ambient_density,ambient_temperature,ambient_pressure,sea_level_pressure,gear_position,fuel_current,precipitation_state,time
Extra 300S Paint1,1.0682652040522107,278.9630373954773,85519.39697265625,101309.99755859376,0,249.75808334350583,2,0
Extra 300S Paint1,1.0682652040522107,278.9630373954773,85519.39697265625,101309.99755859376,0,249.75808334350583,2,-2147483648
Extra 300S Paint1,1.067902168248798,278.98938074111936,85498.40698242188,101309.99755859376,0,249.72422981262207,2,-2147483648
Extra 300S Paint1,1.0677330670881793,278.9993041992188,85487.90893554686,101309.99755859376,0,249.69067287445068,2,-2147483648
Extra 300S Paint1,1.067001903082938,278.9847778320312,85424.92065429686,101309.99755859376,0,249.6570472717285,2,-2147483648
Extra 300S Paint1,1.0653675842037638,278.93204250335685,85277.9541015625,101309.99755859376,0,249.62353801727292,2,-2147483648
Extra 300S Paint1,1.0624986866676414,278.82447423934934,85015.51513671875,101309.99755859376,0,249.5900301933289,2,-2147483648
Extra 300S Paint1,1.0574720029681113,278.6277765274048,84553.61938476561,101309.99755859376,0,249.55670356750488,2,-2147483648
Extra 300S Paint1,1.0514106514477857,278.35078563690183,83985.39428710938,101309.99755859376,0,249.5234241485596,2,-2147483648
Extra 300S Paint1,1.0462709786025228,278.05313673019407,83485.47973632812,101309.99755859376,0,249.4904623031616,2,-2147483648
Extra 300S Paint1,1.0424329283180254,277.78088703155515,83097.79052734375,101309.99755859376,0,249.4580082893372,2,-2147483648
Extra 300S Paint1,1.0400469368732947,277.56356182098386,82842.73071289062,101309.99755859376,0,249.42548704147336,2,-2147483648
Extra 300S Paint1,1.0388305683760533,277.4094265937805,82699.89624023438,101309.99755859376,0,249.3933491706848,2,-2147483648
Extra 300S Paint1,1.0385390651845596,277.3161186218261,82648.88305664062,101309.99755859376,0,249.36098527908325,2,-2147483648
Extra 300S Paint1,1.039177977995137,277.28245677948,82689.69116210938,101309.99755859376,0,249.3286213874817,2,-2147483648
Extra 300S Paint1,1.040749528516718,277.30785074234007,82822.32666015625,101309.99755859376,0,249.29620838165283,2,-2147483648
Extra 300S Paint1,1.0424417696485562,277.3692673683166,82975.3662109375,101309.99755859376,0,249.26370716094968,2,-2147483648
Extra 300S Paint1,1.0437176164083304,277.43895235061643,83097.79052734375,101309.99755859376,0,249.23109483718872,2,-2147483648
Extra 300S Paint1,1.0437176164083304,277.43895235061643,83097.79052734375,101309.99755859376,0,249.1984314918518,2,-2147483648
Extra 300S Paint1,1.0437176164083304,277.43895235061643,83097.79052734375,101309.99755859376,0,249.1984314918518,2,-2147483648
Extra 300S Paint1,1.0437176164083304,277.43895235061643,83097.79052734375,101309.99755859376,0,249.1984314918518,2,-2147483648
