altitude_abv_gnd,altitude,angle_of_attack,velocity_body_x,velocity_body_y,velocity_body_z,velocity_world_x,velocity_world_y,velocity_world_z,velocity_rot_body_x,velocity_rot_body_y,velocity_rot_body_z,wind_velocity_body_x,wind_velocity_body_y,wind_velocity_body_z,wind_velocity_world_x,wind_velocity_world_y,wind_velocity_world_z,acceleration_body_x,acceleration_body_y,acceleration_body_z,pitch,bank,heading,rudder,elevator,aileron,flaps_handle_ind,spoilers_handle_ind,General_Eng_Rpm_1,General_Eng_Throttle_Lever_Position_1,time
3568.4011061435376,3670.1936520495833,0.0285986519568199,0.4234152429881848,-7.438604733650138,271.372080845191,98.12987639912463,33.85449560078111,250.84400674982143,0.227404874360084,-0.0234738657160684,-0.1491105638151079,-0.3364926651783592,-7.806591493762879,272.89618744772173,0.0407092918692158,0,-0.5150648987472409,2.288277424428794,14.311788866059128,-1.6324796469747962,-0.1517735421657562,0.0020044112358165,0.4337167284949327,-6.103515625e-05,0.1470947265625,0.02398681640625,0,0,2699.929212335142,0.994140625,0
3570.004483461172,3671.7970293672174,0.0259224064435792,0.5270002241609745,-6.668854454345734,271.29862140094576,98.10891576898669,33.58260300170843,250.78785015971124,0.3397505231282608,-0.0238752127419993,-0.0354937142371418,-0.2299072100749646,-7.073788061682215,272.82202929640937,0.0407092918692158,0,-0.5150648987472409,2.0601447511056463,19.52116374109298,-1.419615837221741,-0.1476851403713226,0.0007925249715119,0.4333791765778201,-6.103515625e-05,0.0,0.0,0,0,2699.864937086337,0.994140625,48
3571.5913445281826,3673.383890434228,0.0222886570625756,0.6268516931043707,-5.6489314558217165,271.2351239288639,98.09703616873873,33.16204689949662,250.7549583955985,0.4112110300550037,-0.0267230973939365,-0.0042476953270164,-0.1302543639225974,-6.08042621708648,272.7584385207086,0.0407092918692158,0,-0.5150648987472409,2.176950769323268,22.61424048188112,-1.2738871649554953,-0.1421891748905181,0.0005675144394528,0.433012843141071,-6.103515625e-05,0.0,0.0,0,0,2699.811594494576,0.994140625,95
3573.1566843386618,3674.949230244708,0.0183218306380519,0.7344564330866397,-4.578091925872408,271.17598063911544,98.0945186849492,32.56337464563699,250.74889037915312,0.4428114642858517,-0.0288138918518391,0.0024837096555571,-0.0236018867934711,-4.996928465445418,272.7003328906355,0.0407092918692158,0,-0.5150648987472409,2.3301216268712768,21.91928350397536,-1.2184285311217713,-0.1359547078609466,0.0006314092409038,0.4326080195700788,-6.103515625e-05,0.0,0.0,0,0,2699.7767883080023,0.994140625,143
3574.689070818516,3676.4816167245617,0.0148628247118331,0.8466901193350076,-3.725053391562872,271.11674028779163,98.10075737014223,31.78129835853942,250.76895656748263,0.3439812282911645,-0.0280764229042809,-0.0236216712736986,0.0889649366032301,-4.052546090445452,272.6431722995768,0.0407092918692158,0,-0.5150648987472409,2.336786604372405,12.312695803084477,-1.2865375347191188,-0.1301915347576141,0.0005136084391288,0.432189023483798,-6.103515625e-05,0.1307790875434875,0.006205909885466,0,0,2699.7647983886704,0.994140625,191
3576.18217992125,3677.974725827296,0.0121337315465436,0.9532210632041676,-2.850748102834043,271.0617418216923,98.11090510652538,30.920951723690255,250.80201831322827,0.6706439557052137,-0.0280172691913441,-0.0745123147289354,0.1975734016509622,-3.3076593014057214,272.58695818787714,0.0407092918692158,0,-0.5150648987472409,2.231798393391238,30.46916652408315,-0.953420938592102,-0.1229787170886993,-0.0002394133367243,0.4317939133637265,-6.103515625e-05,-0.341079831123352,0.0159183405339717,0,0,2699.776142178413,0.994140625,239
3577.6275815388008,3679.4201274448474,0.0058263153741196,1.0725323466923489,-0.9892279446798252,271.02023714694155,98.13220372607594,29.840055121769648,250.86597826155435,0.9058366801031223,-0.0368772955734353,-0.0874204081452126,0.3123812078594453,-1.587959498452502,272.5464428514127,0.0407092918692158,0,-0.5150648987472409,2.8551526615740346,45.58579263699226,-0.8606515222756239,-0.1114086657762527,-0.0013033326168479,0.4313161671854204,-6.103515625e-05,-0.341079831123352,0.0159183405339717,0,0,2699.8097059023,0.994140625,286
3579.014254559492,3680.8068004655374,-0.0019064712073865,1.2252796179366574,1.0204538128922125,270.975390970661,98.1681316799968,28.38993703486861,250.97257678352523,0.804838976423104,-0.0436222392081864,-0.1189249055064815,0.4599011458539525,0.519524583379445,272.50553375233346,0.0407092918692158,0,-0.5150648987472409,3.475149965649421,34.54565508761592,-1.0069933632170154,-0.0988358706235885,-0.0027541827051013,0.4306930827254075,-6.103515625e-05,-0.0999497771263122,0.0226970296353101,0,0,2699.8611213108343,0.994140625,334
3580.324696376478,3682.117242282524,-0.0067962597727672,1.38963022523424,2.110651334850993,270.93013204037203,98.21079540010764,26.65018583347998,251.1054082669389,0.5282206147922645,-0.0409327709948929,-0.2677739654035619,0.6264297626268146,1.8517442245852145,272.46099711421806,0.0407092918692158,0,-0.5150648987472409,3.305310706990801,9.751563529290186,-0.833763948455239,-0.0891491398215293,-0.005579441202031,0.430028197214153,-6.103515625e-05,0.1076709032058715,0.0541953258216381,0,0,2699.922361197588,0.994140625,382
3581.5488262453755,3683.3413721514207,-0.0074439973087358,1.5317521763534696,2.0919551128207607,270.8985496989496,98.2512938162413,24.821151260019985,251.2435863205367,0.3191062774041835,-0.0313608328663821,-0.3096096572319603,0.776108987056831,2.0279873881276287,272.4275473057286,0.0407092918692158,0,-0.5150648987472409,2.6323996221560395,-8.946605480258631,-0.4964008515142777,-0.0831037536263465,-0.0097803920445915,0.4294522687482504,-6.103515625e-05,0.1076709032058715,0.0541953258216381,0,0,2699.9856978164107,0.994140625,430
