title,ambient_density,ambient_temperature,ambient_pressure,sea_level_pressure,gear_position,fuel_current,precipitation_state,time
Extra 300S Paint1,1.0203080632953696,276.0408565044403,80824.65209960938,101309.99755859376,0,259.83233642578125,2,0
Extra 300S Paint1,1.0201720798207476,276.0439399719238,80814.78271484375,101309.99755859376,0,259.80084133148193,2,1000
Extra 300S Paint1,1.0200537973952772,276.0422336101532,80804.91333007811,101309.99755859376,0,259.7693500518799,2,2000
Extra 300S Paint1,1.020169534995203,276.04462852478025,80814.78271484375,101309.99755859376,0,259.7381315231323,2,3000
Extra 300S Paint1,1.0198271933707177,276.0360821723938,80785.16235351561,101309.99755859376,0,259.7381315231323,2,4000
Extra 300S Paint1,1.0183782015178635,275.9895845890045,80656.79321289062,101309.99755859376,0,259.706657409668,2,5000
Extra 300S Paint1,1.015194664503289,275.87214269638054,80370.44067382812,101309.99755859376,0,259.6755313873291,2,6000
Extra 300S Paint1,1.0097675952738885,275.6510199546814,79876.72119140625,101309.99755859376,0,259.64431381225586,2,7000
Extra 300S Paint1,1.003615991937501,275.352073097229,79304.01000976561,101309.99755859376,0,259.6133699417114,2,8000
Extra 300S Paint1,0.9982720356838404,275.03370168209074,78790.53955078125,101309.99755859376,0,259.5827445983887,2,9000
Extra 300S Paint1,0.9944264031716016,274.74784281253807,78405.4443359375,101309.99755859376,0,259.5523729324341,2,10000
Extra 300S Paint1,0.9920036509467124,274.52052035331724,78149.71313476561,101309.99755859376,0,259.5222043991089,2,11000
Extra 300S Paint1,0.9908748778336566,274.36161651611326,78015.60668945312,101309.99755859376,0,259.492130279541,2,12000
Extra 300S Paint1,0.9906117629750888,274.2660063743591,77967.71240234375,101309.99755859376,0,259.46237564086914,2,13000
Extra 300S Paint1,0.99111456866975,274.22789599895475,77996.44775390625,101309.99755859376,0,259.4323663711548,2,14000
Extra 300S Paint1,0.9923937784886826,274.24438872337333,78101.81274414062,101309.99755859376,0,259.40229511260986,2,15000
Extra 300S Paint1,0.9943794404194912,274.31096198558805,78277.08129882812,101309.99755859376,0,259.37215423583984,2,16000
Extra 300S Paint1,0.9967584077569792,274.41570498943327,78494.3115234375,101309.99755859376,0,259.34191608428955,2,17000
Extra 300S Paint1,0.998612050257261,274.5265412569046,78672.0458984375,101309.99755859376,0,259.31154346466064,2,18000
Extra 300S Paint1,0.9993184970410864,274.6079439163208,78751.04370117188,101309.99755859376,0,259.28106021881104,2,19000
