title,ambient_density,ambient_temperature,ambient_pressure,sea_level_pressure,gear_position,fuel_current,precipitation_state,time
Extra 300S Paint1,0.9912731486137046,274.1840234041214,77996.44775390625,101309.99755859376,0,257.73931121826166,2,0
Extra 300S Paint1,0.9912731486137046,274.1840234041214,77996.44775390625,101309.99755859376,0,257.73931121826166,2,-2147483648
Extra 300S Paint1,0.9912731486137046,274.1840234041214,77996.44775390625,101309.99755859376,0,257.73931121826166,2,-2147483648
Extra 300S Paint1,0.9911526292080312,274.1836729288101,77986.865234375,101309.99755859376,0,257.70946502685547,2,-2147483648
Extra 300S Paint1,0.9909332018813352,274.1770345211029,77967.71240234375,101309.99755859376,0,257.67938899993896,2,-2147483648
Extra 300S Paint1,0.9912753659605824,274.18341007232664,77996.44775390625,101309.99755859376,0,257.64931201934814,2,-2147483648
Extra 300S Paint1,0.991814089216749,274.2027559518814,78044.34204101561,101309.99755859376,0,257.6192150115967,2,-2147483648
Extra 300S Paint1,0.9921092726268654,274.2221241235733,78073.08349609375,101309.99755859376,0,257.5890941619873,2,-2147483648
Extra 300S Paint1,0.992294307619308,274.2382712602615,78092.24243164062,101309.99755859376,0,257.55894947052,2,-2147483648
Extra 300S Paint1,0.993255128405192,274.27542927265165,78178.44848632812,101309.99755859376,0,257.5288019180298,2,-2147483648
Extra 300S Paint1,0.9961412905022689,274.3784505367279,78435.06469726561,101309.99755859376,0,257.4985685348511,2,-2147483648
Extra 300S Paint1,1.0019711946555183,274.6021069526672,78958.41064453125,101309.99755859376,0,257.4681968688965,2,-2147483648
Extra 300S Paint1,1.0107408617718507,274.97702577114103,79758.2275390625,101309.99755859376,0,257.4378252029419,2,-2147483648
Extra 300S Paint1,1.0107408617718507,274.97702577114103,79758.2275390625,101309.99755859376,0,257.4378252029419,2,-2147483648
Extra 300S Paint1,1.0195454814207274,275.43731966018674,80587.6708984375,101309.99755859376,0,257.40674209594727,2,-2147483648
Extra 300S Paint1,1.0246700295766322,275.8396126270294,81111.01684570312,101309.99755859376,0,257.37520408630365,2,-2147483648
