title,ambient_density,ambient_temperature,ambient_pressure,sea_level_pressure,gear_position,fuel_current,precipitation_state,time
Extra 300S Paint1,1.184048936512767,285.9046024322509,97146.923828125,101309.99755859376,0,211.7736930847168,2,0
Extra 300S Paint1,1.1837368474735683,285.87858905792234,97112.48168945312,101309.99755859376,0,211.73906707763672,2,-2147483648
Extra 300S Paint1,1.182905065500489,285.84284534454343,97032.11059570312,101309.99755859376,0,211.70443344116208,2,-2147483648
Extra 300S Paint1,1.1798145945065748,285.7437738418579,96745.06225585936,101309.99755859376,0,211.67012405395508,2,-2147483648
Extra 300S Paint1,1.1695349657482237,285.0394929885864,95665.771484375,101309.99755859376,0,211.63568115234372,2,-2147483648
Extra 300S Paint1,1.1694246188271065,285.0321783065796,95654.29077148435,101309.99755859376,0,211.60176467895508,2,-2147483648
Extra 300S Paint1,1.162442162496684,284.85123481750486,95022.79663085936,101309.99755859376,0,211.56807327270508,2,-2147483648
Extra 300S Paint1,1.1582288080879972,284.6438335418701,94609.4482421875,101309.99755859376,0,211.5345916748047,2,-2147483648
Extra 300S Paint1,1.1564848755551416,284.4849170684814,94414.2578125,101309.99755859376,0,211.5014915466309,2,-2147483648
Extra 300S Paint1,1.1573178380316298,284.4184507369995,94460.18676757811,101309.99755859376,0,211.46807098388672,2,-2147483648
Extra 300S Paint1,1.1603841450311574,284.4599222183228,94724.267578125,101309.99755859376,0,211.43451690673828,2,-2147483648
Extra 300S Paint1,1.1653930915634043,284.610578918457,95183.53881835936,101309.99755859376,0,211.40092086791992,2,-2147483648
Extra 300S Paint1,1.1718248838073757,284.85805263519285,95792.07153320312,101309.99755859376,0,211.3668594360352,2,-2147483648
Extra 300S Paint1,1.1795680785680591,285.19291248321525,96538.39111328124,101309.99755859376,0,211.33243942260745,2,-2147483648
Extra 300S Paint1,1.1864783983240117,285.5552238464355,97227.30102539062,101309.99755859376,0,211.29766845703125,2,-2147483648
Extra 300S Paint1,1.1900271698796867,285.8468126296997,97617.68188476561,101309.99755859376,0,211.26271438598636,2,-2147483648
Extra 300S Paint1,1.1900271698796867,285.8468126296997,97617.68188476561,101309.99755859376,0,211.26271438598636,2,-2147483648
