title,ambient_density,ambient_temperature,ambient_pressure,sea_level_pressure,gear_position,fuel_current,precipitation_state,time
Piaggio P-149D D-EOAO,1.0990709677971977,280.8329295158386,88575.2685546875,101309.99755859376,1,375.47176361083984,2,0
Piaggio P-149D D-EOAO,1.0988189335251144,280.8630079269409,88564.44091796875,101309.99755859376,1,375.43941497802734,2,869
Piaggio P-149D D-EOAO,1.0959624867009143,280.80334224700925,88315.44799804686,101309.99755859376,1,375.4092483520508,2,1737
Piaggio P-149D D-EOAO,1.0862980390905266,280.15798273086546,87335.49194335938,101309.99755859376,1,375.38156890869135,2,2606
Piaggio P-149D D-EOAO,1.080524291187545,279.9961055755615,86821.10595703125,101309.99755859376,1,375.35343170166016,2,3475
Piaggio P-149D D-EOAO,1.078709652477604,279.8567022323608,86632.14721679686,101309.99755859376,1,375.3216171264648,2,4343
Piaggio P-149D D-EOAO,1.0799240810688349,279.8129853248596,86716.13159179686,101309.99755859376,1,375.29074859619135,2,5212
Piaggio P-149D D-EOAO,1.0837897290041527,279.8950633049011,87052.06298828125,101309.99755859376,1,375.2589340209961,2,6081
Piaggio P-149D D-EOAO,1.0887075021700447,280.07576789855955,87503.52172851561,101309.99755859376,1,375.22695159912104,2,6949
Piaggio P-149D D-EOAO,1.092259998517363,280.27005710601804,87849.94506835938,101309.99755859376,1,375.194938659668,2,7818
Piaggio P-149D D-EOAO,1.092259998517363,280.27005710601804,87849.94506835938,101309.99755859376,1,375.194938659668,2,8687
Piaggio P-149D D-EOAO,1.092259998517363,280.27005710601804,87849.94506835938,101309.99755859376,1,375.194938659668,2,9556
