title,ambient_density,ambient_temperature,ambient_pressure,sea_level_pressure,gear_position,fuel_current,precipitation_state,time
Piaggio P-149D D-EOAO,1.085661869855298,279.98519983291624,87230.517578125,101309.99755859376,1,377.00020599365234,2,0
Piaggio P-149D D-EOAO,1.084164854839015,280.0006588935852,87115.04516601561,101309.99755859376,1,376.96816253662104,2,714
Piaggio P-149D D-EOAO,1.0789373440663097,279.86547508239744,86653.1494140625,101309.99755859376,1,376.93834686279297,2,1427
Piaggio P-149D D-EOAO,1.0719817956697484,279.5997532844543,86012.78686523438,101309.99755859376,1,376.9107131958008,2,2141
Piaggio P-149D D-EOAO,1.0670406573795288,279.31748285293577,85529.89501953125,101309.99755859376,1,376.8812789916992,2,2855
Piaggio P-149D D-EOAO,1.065207333130044,279.11138715744016,85319.9462890625,101309.99755859376,1,376.8503952026367,2,3568
Piaggio P-149D D-EOAO,1.065956773542336,279.01808347702024,85351.43432617188,101309.99755859376,1,376.81955718994146,2,4282
Piaggio P-149D D-EOAO,1.069220736815122,279.0558799743652,85624.37744140625,101309.99755859376,1,376.78835296630854,2,4996
Piaggio P-149D D-EOAO,1.0742471265219449,279.214444065094,86075.77514648438,101309.99755859376,1,376.75722503662104,2,5709
Piaggio P-149D D-EOAO,1.078561161113767,279.4203990936279,86485.18676757811,101309.99755859376,1,376.72594451904297,2,6423
Piaggio P-149D D-EOAO,1.078561161113767,279.4203990936279,86485.18676757811,101309.99755859376,1,376.69428253173834,2,7137
Piaggio P-149D D-EOAO,1.078561161113767,279.4203990936279,86485.18676757811,101309.99755859376,1,376.69428253173834,2,7850
Piaggio P-149D D-EOAO,1.078561161113767,279.4203990936279,86485.18676757811,101309.99755859376,1,376.69428253173834,2,8564
Piaggio P-149D D-EOAO,1.078561161113767,279.4203990936279,86485.18676757811,101309.99755859376,1,376.69428253173834,2,9278
