title,ambient_density,ambient_temperature,ambient_pressure,sea_level_pressure,gear_position,fuel_current,precipitation_state,time
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.1005959275614274,281.09507312774656,88780.95703125,101309.99755859376,1,566.2733154296875,2,0
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0962395043428124,280.93886318206785,88380.40161132812,101309.99755859376,1,566.23876953125,2,901
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0904590708859905,280.69835653305046,87839.11743164062,101309.99755859376,1,566.2041625976562,2,1801
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0847905363118209,280.412454032898,87293.505859375,101309.99755859376,1,566.1696166992188,2,2702
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0801516005327028,280.12658920288084,86831.60400390625,101309.99755859376,1,566.1350708007812,2,3602
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0768036963175387,279.8764719009399,86485.18676757811,101309.99755859376,1,566.1005249023438,2,4503
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0768036963175387,279.8764719009399,86485.18676757811,101309.99755859376,1,566.06591796875,2,5404
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0744460876497517,279.6734599113464,86233.23974609375,101309.99755859376,1,566.0311889648438,2,6304
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0732972796752345,279.52972974777214,86096.77124023438,101309.99755859376,1,565.9966430664064,2,7205
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0730996160184083,279.4448727607727,86054.78515625,101309.99755859376,1,565.9619140625,2,8105
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.073973160482907,279.4219326019287,86117.76733398438,101309.99755859376,1,565.9271850585938,2,9006
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0759118917380464,279.46243085861204,86285.72998046875,101309.99755859376,1,565.8922119140625,2,9907
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.079384264415134,279.5801209449768,86600.6591796875,101309.99755859376,1,565.857177734375,2,10807
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0836498588774022,279.7623909950256,86999.57275390625,101309.99755859376,1,565.857177734375,2,11708
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.087902400825046,279.98019924163816,87408.97827148438,101309.99755859376,1,565.8220825195312,2,12608
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0914704325616071,280.1962884902954,87763.33618164062,101309.99755859376,1,565.7869873046875,2,13509
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0940974413408098,280.3855341911316,88033.984375,101309.99755859376,1,565.7518920898438,2,14409
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0955555168659383,280.5288771629333,88196.36840820312,101309.99755859376,1,565.7168579101562,2,15310
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0955555168659383,280.5288771629333,88196.36840820312,101309.99755859376,1,565.68212890625,2,16211
SIAI-Marchetti SF-260PAINTAIRCOMBATUSA,1.0955555168659383,280.5288771629333,88196.36840820312,101309.99755859376,1,565.68212890625,2,17111
