title,ambient_density,ambient_temperature,ambient_pressure,sea_level_pressure,gear_position,fuel_current,precipitation_state,time
Alpha 160A G-ECAC,1.1312062326060066,282.7832778930664,91798.17504882812,101309.99755859376,0,173.60166931152344,2,0
Alpha 160A G-ECAC,1.1307732883129813,282.78843822479246,91764.71557617188,101309.99755859376,0,173.57020568847656,2,898
Alpha 160A G-ECAC,1.1297667558325708,282.7651647567749,91675.48828125,101309.99755859376,0,173.53883361816406,2,1796
Alpha 160A G-ECAC,1.1297667558325708,282.7651647567749,91675.48828125,101309.99755859376,0,173.50755310058594,2,2695
Alpha 160A G-ECAC,1.128318411240815,282.71474876403806,91541.63818359376,101309.99755859376,0,173.47616577148438,2,3593
Alpha 160A G-ECAC,1.1264252591379782,282.6378339767456,91363.18359375,101309.99755859376,0,173.44491577148438,2,4491
Alpha 160A G-ECAC,1.1240848924663325,282.534744644165,91140.10620117188,101309.99755859376,0,173.4137725830078,2,5389
Alpha 160A G-ECAC,1.1210460684750372,282.39917793273924,90850.10986328124,101309.99755859376,0,173.38307189941406,2,6287
Alpha 160A G-ECAC,1.11670780533559,282.2080415725708,90437.28637695312,101309.99755859376,0,173.3523406982422,2,7185
Alpha 160A G-ECAC,1.111281618125148,281.956568145752,89917.6513671875,101309.99755859376,0,173.3219451904297,2,8084
Alpha 160A G-ECAC,1.1062065691893748,281.68142166137693,89419.67163085938,101309.99755859376,0,173.2921142578125,2,8982
Alpha 160A G-ECAC,1.1025025662660164,281.43016662597654,89040.771484375,101309.99755859376,0,173.26234436035156,2,9880
Alpha 160A G-ECAC,1.1009311940285589,281.24932327270506,88856.73217773438,101309.99755859376,0,173.23277282714844,2,10778
Alpha 160A G-ECAC,1.101649650695122,281.16864624023435,88889.21508789062,101309.99755859376,0,173.20318603515625,2,11676
Alpha 160A G-ECAC,1.104357703780134,281.1965154647827,89116.552734375,101309.99755859376,0,173.17347717285156,2,12574
Alpha 160A G-ECAC,1.1079435165756033,281.30789127349846,89441.32080078125,101309.99755859376,0,173.14373779296875,2,13473
Alpha 160A G-ECAC,1.1099070430697708,281.4220441818237,89636.18774414062,101309.99755859376,0,173.11370849609375,2,14371
Alpha 160A G-ECAC,1.1099244736440457,281.48561611175535,89657.84301757811,101309.99755859376,0,173.11370849609375,2,15269
Alpha 160A G-ECAC,1.1099244736440457,281.48561611175535,89657.84301757811,101309.99755859376,0,173.11370849609375,2,16167
