altitude_abv_gnd,altitude,angle_of_attack,velocity_body_x,velocity_body_y,velocity_body_z,velocity_world_x,velocity_world_y,velocity_world_z,velocity_rot_body_x,velocity_rot_body_y,velocity_rot_body_z,wind_velocity_body_x,wind_velocity_body_y,wind_velocity_body_z,wind_velocity_world_x,wind_velocity_world_y,wind_velocity_world_z,acceleration_body_x,acceleration_body_y,acceleration_body_z,pitch,bank,heading,rudder,elevator,aileron,flaps_handle_ind,spoilers_handle_ind,General_Eng_Rpm_1,General_Eng_Throttle_Lever_Position_1,time
1965.18686257049,2194.74307500198,-0.0133260553246048,-0.0118615352964394,3.800900433168547,283.7749157561192,-257.74166920234194,-6.510990074900585,-118.61488707722012,-0.135220059559416,-0.0002817934458838,-0.0003385853292,-0.0118772384690053,3.7825072147345145,283.82617481416327,0,0,0,0.0017955580790982,1.8976667874323407,-5.390497686081666,0.0359451137483119,0.001127431703567,4.343286186513907,0,0.05047607421875,0.0,0,0,3217.944484783352,0.994140625,0
1964.8908828423116,2194.4470952738006,-0.0136905399016067,-0.0118373259622166,3.9086156959831535,283.5162337902737,-257.52004180474125,-5.862773655496326,-118.51492699085983,-0.115837214281133,-0.0002809542941074,-0.0003372562209946,-0.0118410971633392,3.882443001053877,283.56810342648095,0,0,0,0.0005110689260282,2.819975845048288,-5.422206363857161,0.034121811389923,0.001098027999042,4.343280073115883,0,0.0,0.0,0,0,3217.920312146186,0.994140625,48
1964.6268522392636,2194.1830646707526,-0.0141831874070559,-0.0117795767336544,4.045055384801482,283.2580862110021,-257.2974387412728,-5.25000230343112,-118.41441068810872,-0.1106970542466984,-0.0002801972445192,-0.0003360556725846,-0.0117893815489479,4.018504785337041,283.30975319596286,0,0,0,0.0014484917705708,2.7486016919865977,-5.4341222228128725,0.0324916094541549,0.0010858923493112,4.343274179397644,0,0.0,0.0,0,0,3217.8926115842364,0.994140625,95
1964.3910150907227,2193.9472275222124,-0.0146292679633842,-0.0117317929291725,4.1622093341192565,282.99948007714727,-257.07255582111776,-4.6703399265538685,-118.3128112279864,-0.1111662803838239,-0.0002789752404601,-0.0003344399945393,-0.0117337952873067,4.141127531660333,283.0512173274147,0,0,0,0.0001729797320657,2.149613148101712,-5.43831198607985,0.030886385589838,0.0011011026709559,4.343268382396443,0,0.0,0.0,0,0,3217.857988308856,0.994140625,143
1964.1821477929675,2193.7383602244568,-0.0149708287273792,-0.0116924558809682,4.24884204871584,282.7408202195004,-256.8458353086321,-4.1177201753361885,-118.21032903545829,-0.113207544646355,-0.0002784203403921,-0.0003331797961268,-0.0117008559776038,4.233955292442458,282.7925595878453,0,0,0,0.0001578514558212,1.503330687182311,-5.440174210412495,0.0292610898613929,0.0010970121260131,4.343262556877554,0,0.0,0.0,0,0,3217.8223445228286,0.994140625,191
1963.7827352968236,2193.5552961623707,-0.0152082841224551,-0.011649716749169,4.306682228520213,282.48209400980846,-256.6175012166797,-3.585891515233945,-118.10706981669314,-0.1155730984732482,-0.0002774406882042,-0.0003318626138059,-0.0116567414330064,4.297186428667204,282.5338537524088,0,0,0,0.0007667595484688,0.9475587744170884,-5.443768262932527,0.0276034343987703,0.001076054082391,4.343256715421171,0,0.0,0.0,0,0,3217.7873617827104,0.994140625,238
1963.6241345785645,2193.396695444112,-0.0152889145493958,-0.0116127363142579,4.306172960281697,282.22291032802235,-256.38691829513186,-3.068265726810305,-118.002756449132,-0.1430323063059917,-0.0002765514418959,-0.0003305938275508,-0.011620241508461,4.316009533602712,282.27466534895245,0,0,0,0.0008420985574544,-1.242851333785153,-5.426774884675991,0.0257178619503974,0.0010925461802357,4.343250646307621,0,0.0621867775917053,-0.0189311429858207,0,0,3217.75157302313,0.994140625,286
1963.490604117674,2193.263164983221,-0.0150344375249288,-0.0115720780228619,4.22042160358129,281.9646637639749,-256.155200917554,-2.5462203717584773,-117.8979073065906,-0.1539537843809592,-0.0002755926841994,-0.0003294591748383,-0.0115750478038401,4.240277069744054,282.01637575043134,0,0,0,0.0005217742127677,-2.1230306971608406,-5.439961999362592,0.0235518030822277,0.001100665353829,4.343244326788776,0,0.0621867775917053,-0.0189311429858207,0,0,3217.7142882262247,0.994140625,333
1963.3819579829817,2193.1545188485293,-0.0147466129103436,-0.0115401345112549,4.148116496824981,281.7040811650103,-255.92079040751003,-2.007155726429252,-117.79184912755808,-0.1351430102572991,-0.0002748618886532,-0.0003285462875483,-0.0115492643416674,4.15525385751412,281.75640564492227,0,0,0,0.0005420111042841,-0.5819207755836147,-5.489650613053088,0.0214511770755052,0.0010419395425024,4.3432380586440535,0,0.0071386098861694,-0.0258961990475654,0,0,3217.6747175465935,0.994140625,381
1963.299417306229,2193.0719781717767,-0.0147094181592593,-0.0114863717169223,4.141966362366605,281.4423472222928,-255.68531094496575,-1.466789073599415,-117.68526668972824,-0.1280182105488368,-0.0002736298924679,-0.0003273889548387,-0.0114981922820846,4.1409233720072525,281.49479944324634,0,0,0,0.0016897577685969,0.1430769899021341,-5.519726258825552,0.0195548199117183,0.0010572140677405,4.343232065974074,0,0.0071386098861694,-0.0258961990475654,0,0,3217.6327363533965,0.994140625,429
